Player	 Earnings 	Events	Rds.	Cuts  Made	Rds. In 60s	Rds Under Par	Birdies	Scoring Avg.	Driving Distance	Fairways	Greens	Putts	Sand Saves
Robert Damron	"$455,604"	32	98	17	24	47	3.42	70.99	269.8	9.68	11.48	1.795	58.4%
David Ogrin	"$593,683"	28	96	20	32	50	3.4	70.06	263.3	9.85	11.41	1.762	56.8%
Glen Day	"$248,323"	29	82	14	22	34	3.39	71.61	264.1	9.88	10.66	1.785	59.6%
Joe Durant	"$240,936"	31	98	19	26	53	3.5	71.31	273.3	10.39	12.4	1.792	49.0%
David Duval	"$1,885,308"	29	98	21	39	53	4.09	69.91	280.1	9.27	11.76	1.761	45.7%
David Edwards	"$292,096"	23	70	11	20	32	3.01	71.11	254.4	10.93	11.39	1.782	57.9%
Steve Elkington	"$1,320,411"	17	62	14	18	30	3.37	70.09	268.1	9.42	12.02	1.804	56.5%
Ernie Els	"$1,243,008"	19	62	15	22	29	3.44	69.9	271.6	8.76	10.89	1.773	52.9%
Bob Estes	"$340,057"	19	69	15	31	44	3.59	70.09	265	9.67	12	1.751	70.3%
Brad Fabel	"$375,122"	30	94	18	36	47	3.46	71.01	261.6	10.05	11.8	1.789	57.5%
Brad Faxon	"$1,233,505"	23	75	17	28	41	3.76	69.97	260.1	8.39	10.67	1.736	59.1%
Rick Fehr	"$327,204"	22	69	14	24	40	3.65	70.8	263.6	9.91	12.23	1.761	58.5%
Dan Forsman	"$443,034"	27	84	16	27	35	3.35	71.1	271.1	9.36	12.02	1.805	61.0%
David Frost	"$458,700"	24	69	12	15	27	3.03	71.36	261.8	8.86	10.74	1.791	53.5%
Fred Funk	"$544,419"	33	115	25	40	56	3.32	70.72	260.2	11.14	11.91	1.791	56.4%
Jim Furyk	"$1,619,480"	27	98	24	43	59	3.74	69.64	262.9	10.62	11.91	1.743	54.9%
Robert Gamez	"$283,434"	28	82	12	18	33	3.71	71.46	274.6	9.46	12.26	1.807	44.5%
Brent Geiberger	"$395,472"	29	93	19	34	58	3.55	70.48	276.9	9.65	12.24	1.785	58.1%
Kelly Gibson	"$267,230"	36	121	24	35	60	3.5	70.93	280.2	8.98	12.1	1.807	61.1%
Bill Glasson	"$926,552"	19	68	16	30	44	4.18	70.33	288.5	9.63	12.66	1.772	58.3%
Paul Goydos	"$396,241"	30	100	21	35	53	3.46	70.73	268.5	10.3	11.64	1.773	61.3%
Scott Gump	"$209,672"	33	108	22	32	49	3.17	71.31	262.6	10.53	12.18	1.816	52.4%
Jay Haas	"$437,895"	24	80	18	24	47	3.44	70.35	268	9.6	11.63	1.765	64.5%
Donnie Hammond	"$224,799"	21	68	12	14	29	3.46	71.19	269.6	9.65	11.38	1.77	55.0%
